step,time_s,delta_rad,joint1_offset_rad,joint2_offset_rad,joint3_offset_rad,joint4_offset_rad,joint5_offset_rad,joint6_offset_rad,joint7_offset_rad
0,0.000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000
1,0.001,0.000000007752,0.000000007752,0.000000007752,0.000000007752,0.000000007752,-0.000000007752,0.000000007752,0.000000007752
2,0.002,0.000000031006,0.000000031006,0.000000031006,0.000000031006,0.000000031006,-0.000000031006,0.000000031006,0.000000031006
3,0.003,0.000000069764,0.000000069764,0.000000069764,0.000000069764,0.000000069764,-0.000000069764,0.000000069764,0.000000069764
4,0.004,0.000000124025,0.000000124025,0.000000124025,0.000000124025,0.000000124025,-0.000000124025,0.000000124025,0.000000124025
5,0.005,0.000000193789,0.000000193789,0.000000193789,0.000000193789,0.000000193789,-0.000000193789,0.000000193789,0.000000193789
6,0.006,0.000000279056,0.000000279056,0.000000279056,0.000000279056,0.000000279056,-0.000000279056,0.000000279056,0.000000279056
7,0.007,0.000000379826,0.000000379826,0.000000379826,0.000000379826,0.000000379826,-0.000000379826,0.000000379826,0.000000379826
8,0.008,0.000000496099,0.000000496099,0.000000496099,0.000000496099,0.000000496099,-0.000000496099,0.000000496099,0.000000496099
9,0.009,0.000000627875,0.000000627875,0.000000627875,0.000000627875,0.000000627875,-0.000000627875,0.000000627875,0.000000627875
10,0.010,0.000000775154,0.000000775154,0.000000775154,0.000000775154,0.000000775154,-0.000000775154,0.000000775154,0.000000775154
11,0.011,0.000000937936,0.000000937936,0.000000937936,0.000000937936,0.000000937936,-0.000000937936,0.000000937936,0.000000937936
12,0.012,0.000001116221,0.000001116221,0.000001116221,0.000001116221,0.000001116221,-0.000001116221,0.000001116221,0.000001116221
13,0.013,0.000001310008,0.000001310008,0.000001310008,0.000001310008,0.000001310008,-0.000001310008,0.000001310008,0.000001310008
14,0.014,0.000001519298,0.000001519298,0.000001519298,0.000001519298,0.000001519298,-0.000001519298,0.000001519298,0.000001519298
15,0.015,0.000001744090,0.000001744090,0.000001744090,0.000001744090,0.000001744090,-0.000001744090,0.000001744090,0.000001744090
